"OCCUR_DATE","Latitude","Longitude","X_COORD_CD","Y_COORD_CD"
"06/05/2019",40.8055043470001,-73.9164772519999,"1007373","232752"
"06/04/2019",40.695092317,-73.979240625,"990007","192515"
"06/04/2019",40.86184273,-73.902950609,"1011095","253282"
"06/04/2019",40.703720817,-73.938096831,"1001414","195664"
"06/04/2019",40.869223027,-73.893394567,"1013735","255974"
"06/03/2019",40.8606555530001,-73.895006204,"1013293","252852"
"06/03/2019",40.655538482,-73.884098793,"1016409","178125"
"06/02/2019",40.671246534,-73.8660938529999,"1021396","183855"
"06/02/2019",40.8125201340001,-73.902813002,"1011153","235312"
"06/01/2019",40.6691673070001,-73.896652217,"1012920","183086"
"06/01/2019",40.666132836,-73.93138386,"1003286","181971"
"06/01/2019",40.8143510290001,-73.8878756249999,"1015287","235984"
"06/01/2019",40.8143510290001,-73.8878756249999,"1015287","235984"
"06/01/2019",40.8357692210001,-73.9043944159999,"1010706","243782"
"06/01/2019",40.603274007,-73.7531045329999,"1052809","159159"
"06/01/2019",40.603274007,-73.7531045329999,"1052809","159159"
"06/01/2019",40.6737400100001,-73.956863621,"996216","184738"
"06/01/2019",40.6737400100001,-73.956863621,"996216","184738"
"06/01/2019",40.6823008580001,-73.912993613,"1008382","187866"
"05/31/2019",40.680332805,-73.9384249989999,"1001329","187143"
"05/30/2019",40.8479646600001,-73.9121696999999,"1008550","248223"
"05/30/2019",40.651493368,-73.9245300119999,"1005192","176639"
"05/29/2019",40.587950312,-73.9835980089999,"988806","153480"
"05/28/2019",40.663161856,-73.87983228,"1017589","180904"
"05/28/2019",40.8065381010001,-73.918910596,"1006699","233128"
"05/28/2019",40.820445512,-73.936232347,"1001900","238191"
"05/28/2019",40.7970885840001,-73.9427485799999,"1000102","229680"
"05/28/2019",40.6327281640001,-73.8913728699999,"1014401","169812"
"05/27/2019",40.8351815830001,-73.894634433,"1013407","243571"
"05/27/2019",40.8351815830001,-73.894634433,"1013407","243571"
"05/27/2019",40.735783278,-73.8106258029999,"1036732","207396"
"05/27/2019",40.6792423360001,-73.942186366,"1000286","186745"
"05/27/2019",40.6792423360001,-73.942186366,"1000286","186745"
"05/27/2019",40.6656093610001,-73.866617022,"1021254","181801"
"05/27/2019",40.6656093610001,-73.866617022,"1021254","181801"
"05/27/2019",40.642043072,-73.9496090069999,"998235","173191"
"05/27/2019",40.642043072,-73.9496090069999,"998235","173191"
"05/27/2019",40.7009221440001,-73.754091742,"1052435","194734"
"05/26/2019",40.66538517,-73.9342250409999,"1002498","181698"
"05/26/2019",40.6859645580001,-73.873848999,"1019237","189214"
"05/26/2019",40.6664938260001,-73.88779254,"1015379","182115"
"05/26/2019",40.6664938260001,-73.88779254,"1015379","182115"
"05/26/2019",40.649936789,-73.920045107,"1006437","176073"
"05/26/2019",40.668656183,-73.928349662,"1004127","182891"
"05/26/2019",40.786731898,-73.941132468,"1000552","225907"
"05/26/2019",40.786731898,-73.941132468,"1000552","225907"
"05/26/2019",40.786731898,-73.941132468,"1000552","225907"
"05/26/2019",40.786731898,-73.941132468,"1000552","225907"
"05/25/2019",40.6652505490001,-73.890757594,"1014557","181661"
"05/25/2019",40.589893728,-73.8080798989999,"1037554","154246"
"05/25/2019",40.7162634600001,-73.98407868,"988664","200228"
"05/24/2019",40.8320221540001,-73.917958068,"1006954","242413"
"05/24/2019",40.6523269580001,-73.927516683,"1004363","176942"
"05/24/2019",40.6508080900001,-73.958817288,"995678","176383"
"05/24/2019",40.870479066,-73.8462510219999,"1026773","256451"
"05/23/2019",40.666359726,-73.874870142,"1018964","182071"
"05/23/2019",40.8598063000001,-73.929622321,"1003718","252533"
"05/23/2019",40.813292588,-73.9147189829999,"1007857","235590"
"05/23/2019",40.8376358730001,-73.8893253159999,"1014875","244467"
"05/22/2019",40.798483162,-73.9491474709999,"998330","230187"
"05/22/2019",40.838501539,-73.899500797,"1012059","244779"
"05/21/2019",40.6706662720001,-73.957975908,"995908","183618"
"05/20/2019",40.878075016,-73.8259578829999,"1032380","259229"
"05/20/2019",40.746332577,-73.947953012,"998672","211187"
"05/19/2019",40.6965921150001,-73.783390715,"1044315","193135"
"05/19/2019",40.6557085310001,-73.915453826,"1007709","178177"
"05/19/2019",40.7122290080001,-73.986835479,"987900","198758"
"05/18/2019",40.8494092890001,-73.903030196,"1011078","248752"
"05/18/2019",40.6489408690001,-73.884946311,"1016177","175721"
"05/18/2019",40.807295863,-73.954226811,"996922","233397"
"05/18/2019",40.8178784520001,-73.939952422,"1000871","237255"
"05/18/2019",40.7978131840001,-73.948552044,"998495","229943"
"05/17/2019",40.8371187430001,-73.913727148,"1008123","244271"
"05/17/2019",40.8130453650001,-73.946260732,"999126","235493"
"05/16/2019",40.8870891880001,-73.867785667,"1020808","262493"
"05/16/2019",40.8870891880001,-73.867785667,"1020808","262493"
"05/16/2019",40.6939952320001,-73.94168314,"1000422","192120"
"05/16/2019",40.6749869700001,-73.9458456259999,"999272","185194"
"05/15/2019",40.855377693,-73.9047277179999,"1010606","250926"
"05/15/2019",40.855377693,-73.9047277179999,"1010606","250926"
"05/14/2019",40.863003221,-73.924253843,"1005202","253699"
"05/14/2019",40.863003221,-73.924253843,"1005202","253699"
"05/14/2019",40.863003221,-73.924253843,"1005202","253699"
"05/14/2019",40.863003221,-73.924253843,"1005202","253699"
"05/11/2019",40.8848435560001,-73.85374009,"1024693","261681"
"05/09/2019",40.6691673070001,-73.896652217,"1012920","183086"
"05/09/2019",40.728250797,-74.005370124,"982762","204595"
"05/09/2019",40.728250797,-74.005370124,"982762","204595"
"05/04/2019",40.853658463,-73.8827342019999,"1016691","250307"
"05/03/2019",40.6304151420001,-74.142977956,"944564","168983"
"05/03/2019",40.8006941020001,-73.9525084699999,"997399","230992"
"05/02/2019",40.8311291570001,-73.8903732319999,"1014588","242096"
"05/02/2019",40.67539564,-73.88550994,"1016008","185359"
"05/02/2019",40.8588502110001,-73.9052975399999,"1010447","252191"
"04/30/2019",40.8107999050001,-73.9350567019999,"1002228","234677"
"04/30/2019",40.7120046950001,-73.956467327,"996319","198679"
"04/29/2019",40.840795117,-73.923198516,"1005501","245608"
"04/27/2019",40.65388611,-73.9544978439999,"996876","177505"
"04/27/2019",40.845079926,-73.89264895,"1013952","247178"
"04/24/2019",40.838861771,-73.910306061,"1009069","244907"
"04/24/2019",40.6623216990001,-73.9386542839999,"1001270","180581"
"04/24/2019",40.803268824,-73.9466189939999,"999029","231931"
"04/23/2019",40.8826939900001,-73.833156832,"1030386","260908"
"04/23/2019",40.8370010240001,-73.903706009,"1010896","244231"
"04/23/2019",40.6389841760001,-74.171252305,"936722","172119"
"04/22/2019",40.8267054450001,-73.903522174,"1010951","240480"
"04/22/2019",40.680948759,-73.9182016089999,"1006938","187372"
"04/22/2019",40.756275434,-73.9450143289999,"999484","214810"
"04/20/2019",40.817186588,-73.9066502109999,"1010089","237011"
"04/20/2019",40.7014060160001,-73.983808132,"988740","194815"
"04/19/2019",40.6946047540001,-73.738402934,"1056792","192445"
"04/19/2019",40.6894726520001,-73.749799679,"1053637","190566"
"04/19/2019",40.6894726520001,-73.749799679,"1053637","190566"
"04/18/2019",40.6706671250001,-73.875644318,"1018747","183640"
"04/18/2019",40.7933009430001,-73.9487649979999,"998437","228299"
"04/18/2019",40.7177427010001,-73.9827904809999,"989021","200767"
"04/18/2019",40.6754675660001,-73.8806609179999,"1017353","185387"
"04/18/2019",40.6934975940001,-73.979169,"990027","191934"
"04/18/2019",40.854761099,-73.933510004,"1002644","250694"
"04/18/2019",40.746307995,-73.915696141,"1007610","211185"
"04/17/2019",40.7128896450001,-73.98078255,"989578","198999"
"04/16/2019",40.6704940860001,-73.804481032,"1038488","183613"
"04/16/2019",40.718179956,-73.736135108,"1057395","201036"
"04/16/2019",40.7606267410001,-73.9360910789999,"1001955","216397"
"04/16/2019",40.670515149,-73.929566108,"1003789","183568"
"04/15/2019",40.6890045800001,-73.785806054,"1043652","190369"
"04/14/2019",40.819509618,-73.953582535,"997098","237847"
"04/14/2019",40.8596727830001,-73.904280522,"1010728","252491"
"04/14/2019",40.7233929980001,-73.976255443,"990832","202826"
"04/14/2019",40.8593811590001,-73.90679705,"1010032","252384"
"04/14/2019",40.670168236,-73.9157274889999,"1007628","183445"
"04/14/2019",40.670168236,-73.9157274889999,"1007628","183445"
"04/13/2019",40.6957821460001,-73.7906671219999,"1042298","192835"
"04/13/2019",40.7498773740001,-73.862727261,"1022285","212504"
"04/13/2019",40.8281975630001,-73.9380099379999,"1001406","241015"
"04/11/2019",40.8226644450001,-73.938441439,"1001288","238999"
"04/10/2019",40.8541200990001,-73.888809888,"1015010","250473"
"04/10/2019",40.6378044680001,-73.942377197,"1000243","171648"
"04/09/2019",40.7612212110001,-73.867230537,"1021031","216635"
"04/09/2019",40.5737633750001,-73.992877757,"986229","148311"
"04/08/2019",40.686577636,-73.950812118,"997892","189416"
"04/08/2019",40.6340442520001,-74.1236093749999,"949942","170297"
"04/08/2019",40.673493609,-73.934865948,"1002318","184652"
"04/08/2019",40.677469597,-73.898997177,"1012266","186110"
"04/08/2019",40.7492857990001,-73.878540057,"1017904","212282"
"04/08/2019",40.6592752270001,-73.934115729,"1002530","179472"
"04/07/2019",40.6634403620001,-73.740788773,"1056164","181089"
"04/07/2019",40.664191948,-73.926411623,"1004666","181265"
"04/07/2019",40.7353309160001,-73.875451472,"1018767","207199"
"04/07/2019",40.7353309160001,-73.875451472,"1018767","207199"
"04/07/2019",40.8847615600001,-73.843538178,"1027514","261656"
"04/07/2019",40.814366077,-73.9364513189999,"1001841","235976"
"04/06/2019",40.820518656,-73.921339551,"1006022","238221"
"04/06/2019",40.695391527,-73.979406417,"989961","192624"
"04/04/2019",40.6569290530001,-73.926091658,"1004757","178619"
"04/04/2019",40.7156643690001,-73.735535431,"1057564","200120"
"04/03/2019",40.8299656090001,-73.9028561769999,"1011134","241668"
"04/03/2019",40.8299656090001,-73.9028561769999,"1011134","241668"
